_ID;FOURNISSEUR;FAMILLE  ;REF_FABRICANT;REF_DISTRIBUTEUR;DESIGNATION;MARQUE;PRIX_AU;PRIX_BASE;PRIX_NET;;;;;;
100134;SOCOLEC;GENIE CLIMATIQUE;11052236;00046052236;TERMINAL BIM 320 D.100 BLANCHE;ALDES ;1;70,80;41,06;;;;;;
100135;SOCOLEC;GENIE CLIMATIQUE;11052237;00046052237;TERMINAL BIM 320 D.125 BLANCHE;ALDES ;1;84,00;41,06;;;;;;
100136;SOCOLEC;GENIE CLIMATIQUE;11052238;00046052238;TERMINAL BIM 320 D.160 BLANCHE;ALDES ;1;60,70;48,72;;;;;;
100137;SOCOLEC;GENIE CLIMATIQUE;11052245;00046052245;TERMINAL BEM 780 D.100 BLANCHE;ALDES ;1;60,70;35,21;;;;;;
100138;SOCOLEC;GENIE CLIMATIQUE;11052246;00046052246;TERMINAL BEM 780 D.125 BLANCHE;ALDES ;1;64,80;35,21;;;;;;
100139;SOCOLEC;GENIE CLIMATIQUE;11052247;00046052247;TERMINAL BEM 780 D.160 BLANCHE;ALDES ;1;60,40;37,58;;;;;;
100140;SOCOLEC;GENIE CLIMATIQUE;11053757;00046053757;CONTRE CADRE GALVANISE  300X300;ALDES ;1;332,00;35,03;;;;;;
100141;SOCOLEC;GENIE CLIMATIQUE;11056014;00046056014;CAISSON VEKITA + 300 SIMPLE;ALDES ;1;394,00;192,56;;;;;;
100142;SOCOLEC;GENIE CLIMATIQUE;11056040;00046056040;CAISSON VEKITA + 450 SIMPLE;ALDES ;1;433,00;228,52;;;;;;
100143;SOCOLEC;GENIE CLIMATIQUE;11056041;00046056041;CAISSON VEKITA + 450 ISOLE;ALDES ;1;489,00;251,14;;;;;;
100144;SOCOLEC;GENIE CLIMATIQUE;11056042;00046056042;CAISSON VEKITA + 700 SIMPLE;ALDES ;1;540,00;283,62;;;;;;
100145;SOCOLEC;GENIE CLIMATIQUE;11056043;00046056043;CAISSON VEKITA + 700 ISOLE;ALDES ;1;767,00;313,20;;;;;;
100146;SOCOLEC;GENIE CLIMATIQUE;11056046;00046056046;CAISSON VEKITA + 2000 SIMPLE;ALDES ;1;906,00;444,86;;;;;;
100147;SOCOLEC;GENIE CLIMATIQUE;11056047;00046056047;CAISSON VEKITA + 2000 ISOLE;ALDES ;1;953,00;525,48;;;;;;
100148;SOCOLEC;GENIE CLIMATIQUE;11056048;00046056048;CAISSON VEKITA + 3000 SIMPLE;ALDES ;1;1076,00;552,74;;;;;;
100149;SOCOLEC;GENIE CLIMATIQUE;11056049;00046056049;CAISSON VEKITA + 3000 ISOLE;ALDES ;1;436,00;624,08;;;;;;
100150;SOCOLEC;GENIE CLIMATIQUE;11056067;00046056067;VENTILATEUR D'EXTRACTION MINIVEC 160;ALDES ;1;504,00;252,88;;;;;;
100151;SOCOLEC;GENIE CLIMATIQUE;11056068;00046056068;VENTILATEUR D'EXTRACTION MINIVEC 180;ALDES ;1;664,00;292,32;;;;;;
